t,f0
0.000,0.00000000000000
0.005,0.00000000000000
0.010,0.00000000000000
0.015,0.00000000000000
0.020,0.00000000000000
0.025,0.00000000000000
0.030,0.00000000000000
0.035,0.00000000000000
0.040,0.00000000000000
0.045,0.00000000000000
0.050,0.00000000000000
0.055,0.00000000000000
0.060,0.00000000000000
0.065,0.00000000000000
0.070,0.00000000000000
0.075,0.00000000000000
0.080,0.00000000000000
0.085,0.00000000000000
0.090,0.00000000000000
0.095,0.00000000000000
0.100,0.00000000000000
0.105,0.00000000000000
0.110,109.93268094184174
0.115,108.25487073485625
0.120,109.94070783339565
0.125,101.60316958568004
0.130,101.58932951001276
0.135,102.47496826016139
0.140,102.73718581157608
0.145,104.43251621662580
0.150,106.09303963662632
0.155,106.31835707482718
0.160,106.66050260331284
0.165,108.40682995842437
0.170,110.41163426753599
0.175,112.48771571931759
0.180,114.93948432371417
0.185,117.98765336884232
0.190,121.28346125630429
0.195,125.03036686095953
0.200,128.73004537850011
0.205,130.99085186413458
0.210,132.25141107266421
0.215,134.12521631482596
0.220,137.59732261389266
0.225,139.63393763248655
0.230,140.64172454369455
0.235,141.93482187259860
0.240,143.14070748780853
0.245,143.77888972513927
0.250,145.61082426992729
0.255,147.60767272189068
0.260,148.26018216334853
0.265,148.06684981227784
0.270,147.30424059396717
0.275,146.42532223520831
0.280,145.89405030145969
0.285,145.33271519956750
0.290,144.62305010723020
0.295,144.11055002170764
0.300,143.80450903353051
0.305,143.47517848120378
0.310,143.24772719718322
0.315,143.24831662494358
0.320,143.52750454073333
0.325,143.89804078215298
0.330,143.97525404250081
0.335,143.96199562964796
0.340,143.68754396085291
0.345,143.19934630760397
0.350,142.14115170597108
0.355,140.91031152718659
0.360,139.75692186102515
0.365,138.68134566122899
0.370,137.90995747408050
0.375,136.97476830075033
0.380,136.02270138527490
0.385,135.39426600291696
0.390,134.93585148221604
0.395,134.71220862770434
0.400,134.41026926155487
0.405,134.04335344279497
0.410,133.91291454259115
0.415,133.63049745491756
0.420,133.59098745310436
0.425,133.23611546322087
0.430,132.49245016765673
0.435,131.81083871995497
0.440,130.86552659261218
0.445,129.59170609647722
0.450,128.28913006453931
0.455,126.71477792288216
0.460,124.78980315812561
0.465,123.07792413552126
0.470,121.28407843891446
0.475,119.16193951881556
0.480,117.41891594445637
0.485,115.76371762426783
0.490,114.04455631236237
0.495,111.86013669548150
0.500,109.78546319054055
0.505,107.67793950649411
0.510,105.82864517740296
0.515,104.52594898045544
0.520,103.37319274008931
0.525,101.83688472077482
0.530,99.90209148001925
0.535,98.06984839314683
0.540,96.52397514293371
0.545,95.15226556887345
0.550,93.86472734998432
0.555,92.81609911864521
0.560,92.04707565564783
0.565,91.22960031105562
0.570,90.37974939045012
0.575,89.71287232686808
0.580,88.97748549013902
0.585,88.19571109174986
0.590,87.42157976945745
0.595,86.73797939044267
0.600,86.09901078617395
0.605,85.38392235946347
0.610,84.56364338314179
0.615,83.68611474831125
0.620,82.94668912539089
0.625,82.40722754006791
0.630,81.96412659654318
0.635,81.48229662559180
0.640,80.96933977646677
0.645,80.45192601167895
0.650,79.71664275270420
0.655,78.97245772787832
0.660,78.08170547815932
0.665,77.18026897015793
0.670,76.28624297082717
0.675,74.56490020531761
0.680,72.86210956594762
0.685,73.46491458783424
0.690,78.85946158107878
0.695,86.80412939525222
0.700,95.20995775503269
0.705,92.93627851978653
0.710,83.40899248177054
0.715,80.54285440327214
0.720,0.00000000000000
0.725,0.00000000000000
0.730,0.00000000000000
0.735,0.00000000000000
0.740,0.00000000000000
0.745,0.00000000000000
0.750,0.00000000000000
0.755,0.00000000000000
0.760,0.00000000000000
0.765,0.00000000000000
0.770,0.00000000000000
0.775,0.00000000000000
0.780,0.00000000000000
0.785,0.00000000000000
0.790,0.00000000000000
